	6844	0.15603127921026833
attired	2	4.559651642614504e-05
plight	1	2.279825821307252e-05
leathern	3	6.839477463921757e-05
defiantly	1	2.279825821307252e-05
sealed	2	4.559651642614504e-05
crowding	1	2.279825821307252e-05
profusion	1	2.279825821307252e-05
tragedy	1	2.279825821307252e-05
weave	1	2.279825821307252e-05
Judas	1	2.279825821307252e-05
robbers	4	9.119303285229008e-05
Saragossa	1	2.279825821307252e-05
hoofs	1	2.279825821307252e-05
funny	3	6.839477463921757e-05
pink	4	9.119303285229008e-05
climb	1	2.279825821307252e-05
prickly	3	6.839477463921757e-05
eunuchs	3	6.839477463921757e-05
Again	1	2.279825821307252e-05
horse	6	0.00013678954927843514
wakening	1	2.279825821307252e-05
apes	4	9.119303285229008e-05
eight	1	2.279825821307252e-05
celebration	1	2.279825821307252e-05
children	33	0.0007523425210313932
Inside	2	4.559651642614504e-05
scowling	1	2.279825821307252e-05
beetles	1	2.279825821307252e-05
body	24	0.0005471581971137405
ways	1	2.279825821307252e-05
sense	1	2.279825821307252e-05
parrots	2	4.559651642614504e-05
better	12	0.00027357909855687027
twitched	2	4.559651642614504e-05
coverlet	1	2.279825821307252e-05
Marquess	1	2.279825821307252e-05
birthday	6	0.00013678954927843514
iron	5	0.00011399129106536261
dagger	4	9.119303285229008e-05
dull	3	6.839477463921757e-05
branch	2	4.559651642614504e-05
division	1	2.279825821307252e-05
age	4	9.119303285229008e-05
treasure	9	0.0002051843239176527
performance	2	4.559651642614504e-05
Was	2	4.559651642614504e-05
hobbyhorses	1	2.279825821307252e-05
dolphins	1	2.279825821307252e-05
Cupids	1	2.279825821307252e-05
Reformed	1	2.279825821307252e-05
putting	1	2.279825821307252e-05
thorn	1	2.279825821307252e-05
highways	3	6.839477463921757e-05
advanced	1	2.279825821307252e-05
treaders	1	2.279825821307252e-05
Laktroi	1	2.279825821307252e-05
falling	2	4.559651642614504e-05
laughs	1	2.279825821307252e-05
unhappy	1	2.279825821307252e-05
rustled	1	2.279825821307252e-05
ones	1	2.279825821307252e-05
receive	2	4.559651642614504e-05
invisible	1	2.279825821307252e-05
valleys	2	4.559651642614504e-05
gates	7	0.00015958780749150765
entrance	7	0.00015958780749150765
neighs	1	2.279825821307252e-05
So	43	0.0009803251031621184
charmed	1	2.279825821307252e-05
carrying	6	0.00013678954927843514
devices	1	2.279825821307252e-05
cactus	1	2.279825821307252e-05
interpreter	1	2.279825821307252e-05
tea	2	4.559651642614504e-05
hatred	1	2.279825821307252e-05
charmer	1	2.279825821307252e-05
ALICE	1	2.279825821307252e-05
stone	8	0.00018238606570458016
heavily	3	6.839477463921757e-05
Turtle	1	2.279825821307252e-05
vision	2	4.559651642614504e-05
pilgrims	1	2.279825821307252e-05
leaf	1	2.279825821307252e-05
Avarice	8	0.00018238606570458016
lead	5	0.00011399129106536261
merchant	12	0.00027357909855687027
loom	2	4.559651642614504e-05
my	103	0.0023482205959464695
look	21	0.00047876342247452297
hour	4	9.119303285229008e-05
bryony	1	2.279825821307252e-05
me	236	0.005380388938285115
leap	2	4.559651642614504e-05
Phew	1	2.279825821307252e-05
poppy	1	2.279825821307252e-05
worship	4	9.119303285229008e-05
bridal	1	2.279825821307252e-05
kinsmen	1	2.279825821307252e-05
sides	2	4.559651642614504e-05
dainty	2	4.559651642614504e-05
terribly	2	4.559651642614504e-05
clusters	2	4.559651642614504e-05
noblest	1	2.279825821307252e-05
Why	18	0.0004103686478353054
cabinet	2	4.559651642614504e-05
terrible	6	0.00013678954927843514
taint	1	2.279825821307252e-05
shields	3	6.839477463921757e-05
veil	5	0.00011399129106536261
Persia	1	2.279825821307252e-05
murmured	8	0.00018238606570458016
depth	1	2.279825821307252e-05
plunged	4	9.119303285229008e-05
soldier	1	2.279825821307252e-05
chance	1	2.279825821307252e-05
entreated	3	6.839477463921757e-05
food	3	6.839477463921757e-05
speak	15	0.00034197387319608784
none	11	0.00025078084034379773
fool	1	2.279825821307252e-05
Bitter	1	2.279825821307252e-05
alas	1	2.279825821307252e-05
chandelier	1	2.279825821307252e-05
success	1	2.279825821307252e-05
wolves	2	4.559651642614504e-05
sickly	1	2.279825821307252e-05
when	120	0.0027357909855687027
crowned	2	4.559651642614504e-05
rows	3	6.839477463921757e-05
three	18	0.0004103686478353054
killed	1	2.279825821307252e-05
lightly	1	2.279825821307252e-05
conveyed	1	2.279825821307252e-05
standing	5	0.00011399129106536261
Look	2	4.559651642614504e-05
red	38	0.0008663338120967558
couch	8	0.00018238606570458016
touch	6	0.00013678954927843514
Silver	1	2.279825821307252e-05
All	4	9.119303285229008e-05
branches	4	9.119303285229008e-05
burn	1	2.279825821307252e-05
stamping	1	2.279825821307252e-05
mother	25	0.0005699564553268131
Pomegranates	1	2.279825821307252e-05
baskets	2	4.559651642614504e-05
Child	43	0.0009803251031621184
sunset	7	0.00015958780749150765
Show	3	6.839477463921757e-05
Fauns	3	6.839477463921757e-05
gain	1	2.279825821307252e-05
sicken	1	2.279825821307252e-05
lapis	1	2.279825821307252e-05
square	2	4.559651642614504e-05
mauve	1	2.279825821307252e-05
Venetian	1	2.279825821307252e-05
givest	1	2.279825821307252e-05
Triumph	1	2.279825821307252e-05
temptations	2	4.559651642614504e-05
limped	1	2.279825821307252e-05
gnaw	1	2.279825821307252e-05
tide	1	2.279825821307252e-05
stated	1	2.279825821307252e-05
knitting	1	2.279825821307252e-05
Etiquette	1	2.279825821307252e-05
Certainly	4	9.119303285229008e-05
belt	4	9.119303285229008e-05
soft	5	0.00011399129106536261
gravity	3	6.839477463921757e-05
