BBC	0.012486228424531766
s	0.00918105031215571
6	0.008446566287183254
t	0.008079324274697026
Tour	0.007712082262210797
last	0.007344840249724568
up	0.006243114212265883
one	0.006243114212265883
Serena	0.006243114212265883
year	0.006243114212265883
Mouratoglou	0.006243114212265883
Williams	0.006243114212265883
m	0.005508630187293426
time	0.005508630187293426
first	0.005508630187293426
7	0.005141388174807198
2013	0.005141388174807198
day	0.004774146162320969
Sport	0.004774146162320969
lot	0.004774146162320969
think	0.0044069041498347415
team	0.0044069041498347415
Chris	0.004039662137348513
going	0.004039662137348513
out	0.004039662137348513
more	0.004039662137348513
Wimbledon	0.004039662137348513
5	0.003672420124862284
tennis	0.003672420124862284
3	0.003672420124862284
race	0.003672420124862284
win	0.003672420124862284
bit	0.0033051781123760557
match	0.0033051781123760557
two	0.0033051781123760557
player	0.0033051781123760557
now	0.0033051781123760557
good	0.0033051781123760557
Open	0.0033051781123760557
number	0.0033051781123760557
really	0.0033051781123760557
June	0.0033051781123760557
matches	0.0029379360998898272
against	0.0029379360998898272
France	0.0029379360998898272
game	0.0029379360998898272
coach	0.0029379360998898272
start	0.0029379360998898272
round	0.0029379360998898272
French	0.0029379360998898272
stage	0.0029379360998898272
still	0.0029379360998898272
seed	0.0029379360998898272
great	0.0029379360998898272
always	0.0029379360998898272
4	0.0029379360998898272
better	0.002570694087403599
went	0.002570694087403599
same	0.002570694087403599
champion	0.002570694087403599
don	0.002570694087403599
different	0.002570694087403599
go	0.002570694087403599
academy	0.002570694087403599
make	0.002570694087403599
2	0.002570694087403599
Grand	0.002570694087403599
Patrick	0.002570694087403599
know	0.0022034520749173708
court	0.0022034520749173708
Andy	0.0022034520749173708
won	0.0022034520749173708
top	0.0022034520749173708
riders	0.0022034520749173708
Olympics	0.0022034520749173708
become	0.0022034520749173708
world	0.0022034520749173708
well	0.0022034520749173708
ll	0.0022034520749173708
much	0.0022034520749173708
Murray	0.0022034520749173708
story	0.0022034520749173708
sure	0.0022034520749173708
grass	0.0022034520749173708
days	0.0022034520749173708
over	0.001836210062431142
10	0.001836210062431142
come	0.001836210062431142
before	0.001836210062431142
wins	0.001836210062431142
very	0.001836210062431142
working	0.001836210062431142
something	0.001836210062431142
special	0.001836210062431142
25	0.001836210062431142
through	0.001836210062431142
here	0.001836210062431142
level	0.001836210062431142
bad	0.001836210062431142
set	0.001836210062431142
Last	0.001836210062431142
